PV1READ,Female,ESCS,METASUM,PERFEED,HOMEPOS,ADAPTIVITY,TEACHINT,ICTRES,JOYREAD,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,SWBP,MASTGOAL,BELONG,SCREADCOMP,SCREADDIFF,PISADIFF
340.74,Male,-0.3742,-0.95,2.0165,-1.9191,2.0073,1.8245,-1.6927,0.2641,-1.6258,2.0054,1.8164,1.8905,1.2386,1.8524,-0.1769,1.8839,2.7752,-1.272
315.243,Female,-0.1203,-1.72,2.0165,-1.2074,0.4572,-0.2934,-0.8794,-1.1285,1.0844,0.1956,-0.1015,-0.687,1.2386,0.5761,-0.9879,0.1222,1.2421,0.2705
381.238,Female,-0.558639485,-0.95,0.5121,-0.1541,-0.5786,-0.2934,-0.1255,-0.6278,1.0844,0.309945455,0.007778671,-0.164042511,-1.835081012,0.862960079,0.868570494,-0.825,0.795,0.9672
449.221,Female,0.5906,0.21,-0.3253,0.2824,-0.5786,0.1744,0.5236,0.2694,0.4626,-0.4112,0.0273,-0.687,-1.1176,0.0006,-1.1736,0.1222,2.7752,0.2705
393.761,Female,-0.4406,-1.72,0.7743,-0.1995,0.773014657,0.1744,0.3145,-0.2704,1.0844,0.1956,-0.7233,-0.2006,-0.5928,-0.4347,-0.7814,-0.323101186,1.2421,-0.6346
648.591,Female,-0.0028,0.59,2.0165,-0.2314,2.0073,1.8245,-0.0154,1.3468,1.0844,-0.8865,1.1448,-1.2792,-0.5928,1.8524,2.7249,1.8839,-1.8876,-1.272
529.203,Male,-0.2077,1.36,0.0728,-1.4828,-0.5786,0.1744,-1.2471,-0.2704,-0.6583,-0.2661,-0.1015,-1.4869,0.1869,-0.094,0.0348,0.1222,-0.0697,0.2705
422.985,Male,-0.6534,0.59,1.251,0.1183,0.4572,0.1744,0.6027,0.0674,0.0321,0.1956,-0.6545,0.1097,-1.4539,-0.6331,-0.3184,-0.4089,0.409,1.2958
572.895,Male,-0.308,0.59,0.5121,0.0397,-0.1716,0.636,0.2604,-0.2584,0.4667,0.1956,0.487,-0.687,1.2386,-0.2151,1.4903,-0.4089,0.9065,0.9672
412.031,Male,-0.5402,-1.72,0.7743,-1.5431,-1.0467,-0.5905,-0.7112,-1.0727,-0.0159,-1.0881,-1.034,-0.3799,-1.7969,0.2342,-0.4415,0.1222,0.8207,-1.272
499.009,Female,0.628,-0.95,0.2012,-0.1973,0.1915,-0.2934,-0.3918,0.638,-1.1507,0.1956,-0.6545,-1.8939,-0.5928,0.1123,-0.4509,1.8839,1.137,-1.272
258.187,Female,-1.3361,-1.089961416,0.737437395,-2.1433,1.66729764,0.1744,-1.5044,-0.4183,-0.6583,-1.413744131,-0.284205127,-0.687,1.2386,1.8524,-0.3184,-0.5485,-0.0697,1.4885
412.656,Female,-0.4644,-1.72,-0.3253,-0.1647,-0.5786,0.1744,-0.6231,-0.4556,1.0844,0.1956,0.5693,-0.3799,-0.5928,1.8524,-0.3184,0.1222,0.409,1.0453
669.297,Male,0.6068,0.21,0.7743,-0.0237,-0.1687,0.636,0.1789,-0.0176,1.0844,0.1956,0.6291,1.8905,-1.566,1.1101,-0.4509,1.8839,-0.663,-1.272
387.471,Male,0.4348,-0.18,2.0165,1.1436,0.937,1.7534,1.2943,0.7796,1.0844,2.0054,1.0596,-1.8939,1.2386,1.8524,0.1837,0.6632,1.1604,0.2705
