"Gender","ESCS","METASUM","HOMEPOS","ICTRES","JOYREAD","PV1READ"
1,-0.2863,0.5058,-0.978,-1.1171,0.417,477.97
1,-1.6688,-1.5905,-0.978,-0.3586,-0.3675,402.5
2,-0.1004,-0.752,-0.8378,-0.3586,-0.2604,416.68
2,-0.1424,-1.5905,-0.5495,0.3453,-0.0441,412.03
2,-0.3531,-2.0098,-0.978,-1.1171,0.0665,352.55
2,-0.5472,0.925,0.0976,0.3453,0.417,453.08
2,-1.2089,-0.752,-0.978,0.3453,-0.3675,242.64
2,-0.8131,-1.5905,-0.2419,-0.3586,-1.4461,445.46
2,-0.4568,-1.5905,-1.5409,-1.1171,-0.8022,473.28
2,-0.2323,-0.752,-0.2419,1.2041,-0.3675,382.85
2,-1.6493,-2.0098,-1.8273,-1.1171,-0.2604,408.26
2,-0.7337,0.0865,-0.978,-0.3586,-0.8022,485.14
2,-0.2106,0.0865,-1.1173,-1.1171,-1.6151,416.6
2,-0.7016,-1.1713,-1.9956,-2.7224,-0.1533,333.79
2,-1.0073,-1.1713,-1.3978,-0.3586,-0.5824,267.57
2,-0.0456,-0.3327,0.0976,-1.1171,-0.2604,582.22
2,-0.0152,-1.1713,-0.6956,-0.3586,-0.2604,420.85
2,-1.8252,-0.3327,-1.1173,0.3453,-0.8022,533.72
2,-1.1867,0.0865,-1.2566,-0.3586,-1.6151,467.26
1,-0.3905,0.0865,-0.978,-1.1171,0.9601,383.2
1,0.0424,0.0865,-0.5495,0.3453,0.8127,485.2
1,-0.2641,-0.3327,-1.2566,-1.1171,0.0665,509.19
1,-0.1832,0.5058,0.2843,1.2041,0.1798,537
1,-0.0211,-0.3327,-0.2419,-0.3586,0.417,493.07
1,1.0277,-0.752,0.4835,1.2041,-0.1533,542
1,-0.6784,0.5058,-0.8378,-0.3586,2.6632,564.8
1,-0.8131,-2.0098,-0.2419,-0.3586,0.1798,439.84
1,NA,NA,0.2843,1.2041,-0.1533,503.39
1,-0.4653,0.5058,-0.6956,-0.3586,1.4768,510.62
1,-0.1518,0.5058,0.7021,0.3453,-0.0441,510.86
1,-0.4703,0.5058,0.6557,1.2041,NA,569.8
1,0.606,-2.0098,0.2843,-0.3586,0.5421,520.87
2,0.2719,-1.5905,0.7021,0.3453,-0.8022,407.94
2,-0.8308,NA,-1.6261,-0.7459,-0.3884,394.07
2,-1.0769,-0.752,-0.978,-0.3586,-0.2604,459.57
2,-0.9895,0.925,-1.3978,0.3453,-1.2973,406.5
2,-0.0829,-0.3327,-0.3986,-0.3586,-0.2604,442.33
2,-1.1318,0.5058,-1.1173,-2.7224,0.6743,546.87
2,0.4519,NA,-0.1065,0.2936,0.5421,440.57
2,-0.5441,-2.0098,-0.8378,-0.3586,-0.4746,453.8
2,1.0548,0.0865,0.2843,1.2041,0.6743,510.64
2,0.4649,-0.752,0.2843,1.2041,0.417,525.23
